benchmark=kaluza,solver=trau,TO=20.000000
path,sat,time
benchmark/laut/kaluza/1427/sink.s3,1,0.067876
benchmark/laut/kaluza/1057/sink.s3,0,0.036535
benchmark/laut/kaluza/1749/sink.s3,1,0.067436
benchmark/laut/kaluza/1353/sink.s3,0,0.071074
benchmark/laut/kaluza/866/sink.s3,0,0.035465
benchmark/laut/kaluza/669/sink.s3,0,0.034899
benchmark/laut/kaluza/1553/sink.s3,1,0.074138
benchmark/laut/kaluza/1279/sink.s3,0,0.019388
benchmark/laut/kaluza/1759/sink.s3,0,0.036917
benchmark/laut/kaluza/603/sink.s3,1,0.068079
benchmark/laut/kaluza/1728/sink.s3,0,0.035232
benchmark/laut/kaluza/354/sink.s3,1,0.034602
benchmark/laut/kaluza/1391/sink.s3,0,0.018455
benchmark/laut/kaluza/582/sink.s3,0,0.018871
benchmark/laut/kaluza/1272/sink.s3,1,0.066497
benchmark/laut/kaluza/1879/sink.s3,1,0.066681
benchmark/laut/kaluza/1186/sink.s3,0,0.018484
benchmark/laut/kaluza/448/sink.s3,1,0.070988
benchmark/laut/kaluza/722/sink.s3,1,0.066842
benchmark/laut/kaluza/794/sink.s3,0,0.019794
benchmark/laut/kaluza/881/sink.s3,1,0.067653
benchmark/laut/kaluza/941/sink.s3,1,0.065576
benchmark/laut/kaluza/86/sink.s3,1,0.622067
benchmark/laut/kaluza/24/sink.s3,0,0.016874
benchmark/laut/kaluza/630/sink.s3,0,0.019190
benchmark/laut/kaluza/583/sink.s3,0,0.067797
benchmark/laut/kaluza/1802/sink.s3,0,0.035829
benchmark/laut/kaluza/706/sink.s3,0,0.068545
benchmark/laut/kaluza/1670/sink.s3,1,0.079677
benchmark/laut/kaluza/1861/sink.s3,0,0.038595
benchmark/laut/kaluza/1767/sink.s3,1,0.069947
benchmark/laut/kaluza/1015/sink.s3,0,0.037419
benchmark/laut/kaluza/1063/sink.s3,0,0.034721
benchmark/laut/kaluza/1633/sink.s3,1,0.068750
benchmark/laut/kaluza/1548/sink.s3,0,0.018778
benchmark/laut/kaluza/859/sink.s3,1,0.125131
benchmark/laut/kaluza/856/sink.s3,1,0.067298
benchmark/laut/kaluza/495/sink.s3,0,0.017977
benchmark/laut/kaluza/206/sink.s3,1,0.069584
benchmark/laut/kaluza/1312/sink.s3,1,0.067684
benchmark/laut/kaluza/1772/sink.s3,0,0.019472
benchmark/laut/kaluza/1921/sink.s3,1,0.067721
benchmark/laut/kaluza/1209/sink.s3,1,0.065526
benchmark/laut/kaluza/912/sink.s3,0,0.069601
benchmark/laut/kaluza/956/sink.s3,0,0.069326
benchmark/laut/kaluza/1584/sink.s3,0,0.034464
benchmark/laut/kaluza/1846/sink.s3,0,0.018332
benchmark/laut/kaluza/1696/sink.s3,1,0.066058
benchmark/laut/kaluza/474/sink.s3,1,0.068199
benchmark/laut/kaluza/140/sink.s3,0,0.069027
benchmark/laut/kaluza/1490/sink.s3,1,0.119072
benchmark/laut/kaluza/1486/sink.s3,0,0.074966
benchmark/laut/kaluza/1682/sink.s3,0,0.034650
benchmark/laut/kaluza/1367/sink.s3,1,0.066303
benchmark/laut/kaluza/439/sink.s3,0,0.035853
benchmark/laut/kaluza/918/sink.s3,0,0.067455
benchmark/laut/kaluza/50/sink.s3,0,0.033587
benchmark/laut/kaluza/1198/sink.s3,0,0.036248
benchmark/laut/kaluza/519/sink.s3,0,0.019578
benchmark/laut/kaluza/758/sink.s3,1,0.119183
benchmark/laut/kaluza/90/sink.s3,1,0.068968
benchmark/laut/kaluza/312/sink.s3,0,0.034824
benchmark/laut/kaluza/1589/sink.s3,0,0.033178
benchmark/laut/kaluza/1785/sink.s3,0,0.019285
benchmark/laut/kaluza/1998/sink.s3,0,0.020776
benchmark/laut/kaluza/1396/sink.s3,1,0.068325
benchmark/laut/kaluza/1703/sink.s3,1,0.067020
benchmark/laut/kaluza/1522/sink.s3,0,0.034037
benchmark/laut/kaluza/970/sink.s3,0,0.017281
benchmark/laut/kaluza/1375/sink.s3,1,0.067242
benchmark/laut/kaluza/1176/sink.s3,0,0.018071
benchmark/laut/kaluza/1064/sink.s3,1,0.073749
benchmark/laut/kaluza/171/sink.s3,1,0.074109
benchmark/laut/kaluza/1763/sink.s3,0,0.033685
benchmark/laut/kaluza/1083/sink.s3,0,0.037503
benchmark/laut/kaluza/1797/sink.s3,0,0.018162
benchmark/laut/kaluza/1078/sink.s3,1,0.068143
benchmark/laut/kaluza/1266/sink.s3,0,0.036216
benchmark/laut/kaluza/1790/sink.s3,1,0.071954
benchmark/laut/kaluza/488/sink.s3,0,0.069964
benchmark/laut/kaluza/363/sink.s3,1,0.040469
benchmark/laut/kaluza/1839/sink.s3,0,0.033585
benchmark/laut/kaluza/1565/sink.s3,0,0.036625
benchmark/laut/kaluza/8/sink.s3,1,0.034669
benchmark/laut/kaluza/1941/sink.s3,0,0.036609
benchmark/laut/kaluza/373/sink.s3,1,0.040422
benchmark/laut/kaluza/1970/sink.s3,0,0.034910
benchmark/laut/kaluza/1208/sink.s3,1,0.067885
benchmark/laut/kaluza/1487/sink.s3,0,0.041393
benchmark/laut/kaluza/94/sink.s3,1,0.066902
benchmark/laut/kaluza/935/sink.s3,0,0.033810
benchmark/laut/kaluza/1193/sink.s3,0,0.034520
