benchmark=kaluza,solver=s3p,TO=20.000000
path,sat,time
benchmark/laut/kaluza/1234/sink.s3,1,0.066853
benchmark/laut/kaluza/60/sink.s3,1,0.034858
benchmark/laut/kaluza/1461/sink.s3,1,0.033136
benchmark/laut/kaluza/795/sink.s3,1,0.066656
benchmark/laut/kaluza/1690/sink.s3,1,0.065690
benchmark/laut/kaluza/1049/sink.s3,0,0.036641
benchmark/laut/kaluza/131/sink.s3,0,0.033417
benchmark/laut/kaluza/26/sink.s3,0,0.032894
benchmark/laut/kaluza/37/sink.s3,1,0.065047
benchmark/laut/kaluza/1121/sink.s3,0,0.037211
benchmark/laut/kaluza/1366/sink.s3,0,0.035947
benchmark/laut/kaluza/1986/sink.s3,1,0.036362
benchmark/laut/kaluza/271/sink.s3,1,0.067762
benchmark/laut/kaluza/1528/sink.s3,1,0.035861
benchmark/laut/kaluza/1516/sink.s3,1,0.034582
benchmark/laut/kaluza/777/sink.s3,0,0.020608
benchmark/laut/kaluza/267/sink.s3,1,0.035857
benchmark/laut/kaluza/1308/sink.s3,0,0.033040
benchmark/laut/kaluza/137/sink.s3,1,0.033643
benchmark/laut/kaluza/548/sink.s3,0,0.022957
benchmark/laut/kaluza/1408/sink.s3,0,0.020307
benchmark/laut/kaluza/1300/sink.s3,1,0.066286
benchmark/laut/kaluza/586/sink.s3,0,0.042931
benchmark/laut/kaluza/523/sink.s3,1,0.037304
benchmark/laut/kaluza/1232/sink.s3,0,0.038070
benchmark/laut/kaluza/1926/sink.s3,0,0.035350
benchmark/laut/kaluza/962/sink.s3,1,0.036752
benchmark/laut/kaluza/1859/sink.s3,1,0.067202
benchmark/laut/kaluza/974/sink.s3,0,0.036324
benchmark/laut/kaluza/1464/sink.s3,0,0.035006
benchmark/laut/kaluza/922/sink.s3,0,0.034174
benchmark/laut/kaluza/1167/sink.s3,1,0.034356
benchmark/laut/kaluza/1476/sink.s3,1,0.034362
benchmark/laut/kaluza/419/sink.s3,1,0.033822
benchmark/laut/kaluza/1643/sink.s3,0,0.040211
benchmark/laut/kaluza/1469/sink.s3,0,0.033925
benchmark/laut/kaluza/5/sink.s3,0,0.033583
benchmark/laut/kaluza/351/sink.s3,0,0.034195
benchmark/laut/kaluza/462/sink.s3,1,0.050181
benchmark/laut/kaluza/349/sink.s3,1,0.034904
benchmark/laut/kaluza/540/sink.s3,1,0.069131
benchmark/laut/kaluza/123/sink.s3,1,0.038025
benchmark/laut/kaluza/636/sink.s3,0,0.115909
benchmark/laut/kaluza/1557/sink.s3,0,0.066050
benchmark/laut/kaluza/4/sink.s3,1,0.066879
benchmark/laut/kaluza/744/sink.s3,0,0.034137
benchmark/laut/kaluza/132/sink.s3,1,0.067878
benchmark/laut/kaluza/914/sink.s3,0,0.067870
benchmark/laut/kaluza/380/sink.s3,1,0.035278
benchmark/laut/kaluza/1427/sink.s3,1,0.035078
benchmark/laut/kaluza/1057/sink.s3,0,0.038311
benchmark/laut/kaluza/1749/sink.s3,1,0.033542
benchmark/laut/kaluza/1353/sink.s3,0,0.035049
benchmark/laut/kaluza/866/sink.s3,0,0.035424
benchmark/laut/kaluza/669/sink.s3,0,0.034744
benchmark/laut/kaluza/1553/sink.s3,1,0.035125
benchmark/laut/kaluza/1279/sink.s3,0,0.036691
benchmark/laut/kaluza/1759/sink.s3,0,0.033558
benchmark/laut/kaluza/603/sink.s3,1,0.069196
benchmark/laut/kaluza/1728/sink.s3,0,0.036557
benchmark/laut/kaluza/354/sink.s3,1,0.035261
benchmark/laut/kaluza/1391/sink.s3,0,0.035182
benchmark/laut/kaluza/582/sink.s3,0,0.034645
benchmark/laut/kaluza/1272/sink.s3,1,0.035085
benchmark/laut/kaluza/1879/sink.s3,1,0.038971
benchmark/laut/kaluza/1186/sink.s3,0,0.035037
benchmark/laut/kaluza/448/sink.s3,1,0.035869
benchmark/laut/kaluza/722/sink.s3,1,0.035955
benchmark/laut/kaluza/794/sink.s3,0,0.035004
benchmark/laut/kaluza/881/sink.s3,1,0.034155
benchmark/laut/kaluza/941/sink.s3,1,0.034022
benchmark/laut/kaluza/86/sink.s3,1,0.223938
benchmark/laut/kaluza/24/sink.s3,0,0.066099
benchmark/laut/kaluza/630/sink.s3,0,0.065725
benchmark/laut/kaluza/583/sink.s3,0,0.036192
benchmark/laut/kaluza/1802/sink.s3,0,0.035113
benchmark/laut/kaluza/706/sink.s3,0,0.038959
benchmark/laut/kaluza/1670/sink.s3,1,0.033815
benchmark/laut/kaluza/1861/sink.s3,0,0.033994
benchmark/laut/kaluza/1767/sink.s3,1,0.034980
benchmark/laut/kaluza/1015/sink.s3,0,0.036030
benchmark/laut/kaluza/1063/sink.s3,0,0.037681
benchmark/laut/kaluza/1633/sink.s3,1,0.036479
benchmark/laut/kaluza/1548/sink.s3,0,0.037264
benchmark/laut/kaluza/859/sink.s3,1,0.034514
benchmark/laut/kaluza/856/sink.s3,1,0.034466
benchmark/laut/kaluza/495/sink.s3,0,0.034265
benchmark/laut/kaluza/206/sink.s3,1,0.066820
benchmark/laut/kaluza/1312/sink.s3,1,0.033816
benchmark/laut/kaluza/1772/sink.s3,0,0.070231
benchmark/laut/kaluza/1921/sink.s3,1,0.069788
benchmark/laut/kaluza/1209/sink.s3,1,0.069715
benchmark/laut/kaluza/912/sink.s3,0,0.069126
benchmark/laut/kaluza/956/sink.s3,0,0.033109
benchmark/laut/kaluza/1584/sink.s3,0,0.033741
benchmark/laut/kaluza/1846/sink.s3,0,0.035457
benchmark/laut/kaluza/1696/sink.s3,1,0.067182
benchmark/laut/kaluza/474/sink.s3,1,0.034686
benchmark/laut/kaluza/140/sink.s3,0,0.035880
benchmark/laut/kaluza/1490/sink.s3,1,0.067233
benchmark/laut/kaluza/1486/sink.s3,0,0.036528
benchmark/laut/kaluza/1682/sink.s3,0,0.036149
benchmark/laut/kaluza/1367/sink.s3,1,0.065755
benchmark/laut/kaluza/439/sink.s3,0,0.036506
benchmark/laut/kaluza/918/sink.s3,0,0.034163
benchmark/laut/kaluza/50/sink.s3,0,0.035220
benchmark/laut/kaluza/1198/sink.s3,0,0.034529
benchmark/laut/kaluza/519/sink.s3,0,0.035948
benchmark/laut/kaluza/758/sink.s3,1,0.067613
benchmark/laut/kaluza/90/sink.s3,1,0.035199
benchmark/laut/kaluza/312/sink.s3,0,0.033805
benchmark/laut/kaluza/1589/sink.s3,0,0.034195
benchmark/laut/kaluza/1785/sink.s3,0,0.035957
benchmark/laut/kaluza/1998/sink.s3,0,0.033240
benchmark/laut/kaluza/1396/sink.s3,1,0.034426
benchmark/laut/kaluza/1703/sink.s3,1,0.065448
benchmark/laut/kaluza/1522/sink.s3,0,0.036023
benchmark/laut/kaluza/970/sink.s3,0,0.021841
