benchmark=kaluza,solver=ABC,TO=20.000000
path,sat,time
benchmark/laut/kaluza/674/sink.s3,1,0.067683
benchmark/laut/kaluza/887/sink.s3,0,0.017442
benchmark/laut/kaluza/220/sink.s3,1,0.066085
benchmark/laut/kaluza/1227/sink.s3,0,0.066302
benchmark/laut/kaluza/1163/sink.s3,0,0.070576
benchmark/laut/kaluza/733/sink.s3,0,0.039611
benchmark/laut/kaluza/1448/sink.s3,0,0.017623
benchmark/laut/kaluza/164/sink.s3,1,0.067506
benchmark/laut/kaluza/829/sink.s3,0,0.033089
benchmark/laut/kaluza/253/sink.s3,1,1.027271
benchmark/laut/kaluza/1040/sink.s3,0,0.165956
benchmark/laut/kaluza/112/sink.s3,1,0.032485
benchmark/laut/kaluza/963/sink.s3,1,0.119810
benchmark/laut/kaluza/600/sink.s3,0,0.034231
benchmark/laut/kaluza/1683/sink.s3,t,0.0
benchmark/laut/kaluza/939/sink.s3,1,0.276909
benchmark/laut/kaluza/1642/sink.s3,0,0.068641
benchmark/laut/kaluza/838/sink.s3,0,0.034032
benchmark/laut/kaluza/832/sink.s3,0,0.033774
benchmark/laut/kaluza/490/sink.s3,0,0.064749
benchmark/laut/kaluza/223/sink.s3,0,0.033626
benchmark/laut/kaluza/681/sink.s3,1,0.117302
benchmark/laut/kaluza/1935/sink.s3,1,0.168957
benchmark/laut/kaluza/415/sink.s3,1,0.167426
benchmark/laut/kaluza/477/sink.s3,1,0.172517
benchmark/laut/kaluza/764/sink.s3,1,0.128496
benchmark/laut/kaluza/1897/sink.s3,0,0.066284
benchmark/laut/kaluza/622/sink.s3,0,0.035493
benchmark/laut/kaluza/233/sink.s3,1,0.619726
benchmark/laut/kaluza/1018/sink.s3,1,0.065532
benchmark/laut/kaluza/418/sink.s3,1,0.016459
benchmark/laut/kaluza/1349/sink.s3,1,0.273694
benchmark/laut/kaluza/657/sink.s3,1,0.033596
benchmark/laut/kaluza/244/sink.s3,0,0.035409
benchmark/laut/kaluza/1972/sink.s3,0,0.273687
benchmark/laut/kaluza/1637/sink.s3,0,0.115825
benchmark/laut/kaluza/847/sink.s3,1,0.070181
benchmark/laut/kaluza/1234/sink.s3,1,0.067175
benchmark/laut/kaluza/60/sink.s3,1,0.034584
benchmark/laut/kaluza/1461/sink.s3,1,0.068216
benchmark/laut/kaluza/795/sink.s3,1,0.169618
benchmark/laut/kaluza/1690/sink.s3,1,0.274745
benchmark/laut/kaluza/1049/sink.s3,0,0.217744
benchmark/laut/kaluza/131/sink.s3,0,0.071323
benchmark/laut/kaluza/26/sink.s3,0,0.035400
benchmark/laut/kaluza/37/sink.s3,1,0.117011
benchmark/laut/kaluza/1121/sink.s3,0,0.066177
benchmark/laut/kaluza/1366/sink.s3,0,0.166925
benchmark/laut/kaluza/1986/sink.s3,1,0.168355
benchmark/laut/kaluza/271/sink.s3,1,0.167023
benchmark/laut/kaluza/1528/sink.s3,1,0.216583
benchmark/laut/kaluza/1516/sink.s3,1,0.118228
benchmark/laut/kaluza/777/sink.s3,0,0.066882
benchmark/laut/kaluza/267/sink.s3,1,0.066109
benchmark/laut/kaluza/1308/sink.s3,0,0.069187
benchmark/laut/kaluza/137/sink.s3,1,0.067066
benchmark/laut/kaluza/548/sink.s3,0,0.067148
benchmark/laut/kaluza/1408/sink.s3,0,0.065908
benchmark/laut/kaluza/1300/sink.s3,1,0.267776
benchmark/laut/kaluza/586/sink.s3,0,0.041581
benchmark/laut/kaluza/523/sink.s3,1,0.019561
benchmark/laut/kaluza/1232/sink.s3,0,0.033521
benchmark/laut/kaluza/1926/sink.s3,0,0.067409
benchmark/laut/kaluza/962/sink.s3,1,0.267481
benchmark/laut/kaluza/1859/sink.s3,1,0.319532
benchmark/laut/kaluza/974/sink.s3,0,0.040067
benchmark/laut/kaluza/1464/sink.s3,0,0.066335
benchmark/laut/kaluza/922/sink.s3,0,0.067860
benchmark/laut/kaluza/1167/sink.s3,1,0.318586
benchmark/laut/kaluza/1476/sink.s3,1,0.017263
benchmark/laut/kaluza/419/sink.s3,1,0.272265
benchmark/laut/kaluza/1643/sink.s3,0,0.066501
benchmark/laut/kaluza/1469/sink.s3,0,0.068251
benchmark/laut/kaluza/5/sink.s3,0,0.013052
benchmark/laut/kaluza/351/sink.s3,0,0.177416
benchmark/laut/kaluza/462/sink.s3,1,0.271542
benchmark/laut/kaluza/349/sink.s3,1,0.033521
benchmark/laut/kaluza/540/sink.s3,1,0.318429
benchmark/laut/kaluza/123/sink.s3,1,0.066643
benchmark/laut/kaluza/636/sink.s3,0,0.033792
benchmark/laut/kaluza/1557/sink.s3,0,0.065639
benchmark/laut/kaluza/4/sink.s3,1,0.165420
benchmark/laut/kaluza/744/sink.s3,0,0.067051
benchmark/laut/kaluza/132/sink.s3,1,0.120633
benchmark/laut/kaluza/914/sink.s3,0,0.124008
benchmark/laut/kaluza/380/sink.s3,1,0.018888
benchmark/laut/kaluza/1427/sink.s3,1,0.276641
benchmark/laut/kaluza/1057/sink.s3,0,0.122105
benchmark/laut/kaluza/1749/sink.s3,1,0.035984
benchmark/laut/kaluza/1353/sink.s3,0,0.067236
benchmark/laut/kaluza/866/sink.s3,0,0.067203
benchmark/laut/kaluza/669/sink.s3,0,0.016975
benchmark/laut/kaluza/1553/sink.s3,1,0.039291
benchmark/laut/kaluza/1279/sink.s3,0,0.066292
benchmark/laut/kaluza/1759/sink.s3,0,0.033504
benchmark/laut/kaluza/603/sink.s3,1,0.170926
benchmark/laut/kaluza/1728/sink.s3,0,0.143368
benchmark/laut/kaluza/354/sink.s3,1,0.016625
benchmark/laut/kaluza/1391/sink.s3,0,0.023112
benchmark/laut/kaluza/582/sink.s3,0,0.033658
benchmark/laut/kaluza/1272/sink.s3,1,0.072816
benchmark/laut/kaluza/1879/sink.s3,1,0.167775
benchmark/laut/kaluza/1186/sink.s3,0,0.033732
benchmark/laut/kaluza/448/sink.s3,1,0.276702
benchmark/laut/kaluza/722/sink.s3,1,0.217538
benchmark/laut/kaluza/794/sink.s3,0,0.016892
benchmark/laut/kaluza/881/sink.s3,1,0.048852
benchmark/laut/kaluza/941/sink.s3,1,0.276045
benchmark/laut/kaluza/86/sink.s3,1,0.921608
benchmark/laut/kaluza/24/sink.s3,0,0.020377
benchmark/laut/kaluza/630/sink.s3,0,0.037969
benchmark/laut/kaluza/583/sink.s3,0,0.065684
benchmark/laut/kaluza/1802/sink.s3,0,0.034624
benchmark/laut/kaluza/706/sink.s3,0,0.065874
benchmark/laut/kaluza/1670/sink.s3,1,0.219439
benchmark/laut/kaluza/1861/sink.s3,0,0.018086
benchmark/laut/kaluza/1767/sink.s3,1,0.223110
benchmark/laut/kaluza/1015/sink.s3,0,0.066400
benchmark/laut/kaluza/1063/sink.s3,0,0.173966
benchmark/laut/kaluza/1633/sink.s3,1,0.121083
benchmark/laut/kaluza/1548/sink.s3,0,0.067843
benchmark/laut/kaluza/859/sink.s3,1,0.217245
benchmark/laut/kaluza/856/sink.s3,1,0.271622
benchmark/laut/kaluza/495/sink.s3,0,0.066170
benchmark/laut/kaluza/206/sink.s3,1,0.167466
benchmark/laut/kaluza/1312/sink.s3,1,0.069154
benchmark/laut/kaluza/1772/sink.s3,0,0.067621
benchmark/laut/kaluza/1921/sink.s3,1,0.038074
benchmark/laut/kaluza/1209/sink.s3,1,0.073831
benchmark/laut/kaluza/912/sink.s3,0,0.066429
benchmark/laut/kaluza/956/sink.s3,0,0.066003
benchmark/laut/kaluza/1584/sink.s3,0,0.167336
benchmark/laut/kaluza/1846/sink.s3,0,0.065856
benchmark/laut/kaluza/1696/sink.s3,1,0.116835
benchmark/laut/kaluza/474/sink.s3,1,0.032655
benchmark/laut/kaluza/140/sink.s3,0,0.016599
benchmark/laut/kaluza/1490/sink.s3,1,0.121249
benchmark/laut/kaluza/1486/sink.s3,0,0.068036
benchmark/laut/kaluza/1682/sink.s3,0,0.065937
benchmark/laut/kaluza/1367/sink.s3,1,0.119155
benchmark/laut/kaluza/439/sink.s3,0,0.065712
benchmark/laut/kaluza/918/sink.s3,0,0.065650
benchmark/laut/kaluza/50/sink.s3,0,0.034268
benchmark/laut/kaluza/1198/sink.s3,0,0.033297
benchmark/laut/kaluza/519/sink.s3,0,0.036654
benchmark/laut/kaluza/758/sink.s3,1,0.420676
benchmark/laut/kaluza/90/sink.s3,1,0.070239
benchmark/laut/kaluza/312/sink.s3,0,0.065287
benchmark/laut/kaluza/1589/sink.s3,0,0.017662
benchmark/laut/kaluza/1785/sink.s3,0,0.069079
benchmark/laut/kaluza/1998/sink.s3,0,0.034547
benchmark/laut/kaluza/1396/sink.s3,1,0.219819
benchmark/laut/kaluza/1703/sink.s3,1,0.067427
benchmark/laut/kaluza/1522/sink.s3,0,0.066453
benchmark/laut/kaluza/970/sink.s3,0,0.017050
benchmark/laut/kaluza/1375/sink.s3,1,0.290524
benchmark/laut/kaluza/1176/sink.s3,0,0.017287
benchmark/laut/kaluza/1064/sink.s3,1,0.478790
benchmark/laut/kaluza/171/sink.s3,1,0.173490
benchmark/laut/kaluza/1763/sink.s3,0,0.115505
benchmark/laut/kaluza/1083/sink.s3,0,0.065649
benchmark/laut/kaluza/1797/sink.s3,0,0.016969
benchmark/laut/kaluza/1078/sink.s3,1,0.032650
benchmark/laut/kaluza/1266/sink.s3,0,0.033240
benchmark/laut/kaluza/1790/sink.s3,1,0.270391
benchmark/laut/kaluza/488/sink.s3,0,0.067795
benchmark/laut/kaluza/363/sink.s3,1,0.035980
benchmark/laut/kaluza/1839/sink.s3,0,0.035891
benchmark/laut/kaluza/1565/sink.s3,0,0.068101
benchmark/laut/kaluza/8/sink.s3,1,0.068679
benchmark/laut/kaluza/1941/sink.s3,0,0.065107
benchmark/laut/kaluza/373/sink.s3,1,0.033053
benchmark/laut/kaluza/1970/sink.s3,0,0.168619
benchmark/laut/kaluza/1208/sink.s3,1,0.267452
benchmark/laut/kaluza/1487/sink.s3,0,0.034374
benchmark/laut/kaluza/94/sink.s3,1,0.033875
benchmark/laut/kaluza/935/sink.s3,0,0.221931
benchmark/laut/kaluza/1193/sink.s3,0,0.118106
